Degree,Train_RMSE,Test_RMSE,Train_R2,Test_R2,RMSE_gap
2,4766.993577718228,4646.05679306893,0.8340263483080009,0.8825298972468522,-120.9367846492978
3,4575.15716070324,4870.269997884937,0.8471159954824281,0.8709183831506482,295.1128371816967
4,4274.363009456682,6057.859428011461,0.8665579143519786,0.800291429613232,1783.4964185547788
