Model,Accuracy,Precision,Recall,F1,ROC_AUC,Selected hyperparameters
Support Vector Classifier (RBF),0.9402985074626866,0.9609375,0.917910447761194,0.9389312977099237,0.9613499665849855,
Random Forest Classifier,0.9402985074626866,0.9682539682539683,0.9104477611940298,0.9384615384615385,0.9477611940298507,
Decision Tree Classifier,0.9253731343283582,0.9523809523809523,0.8955223880597015,0.9230769230769231,0.941857874805079,"{'max_depth': 6, 'min_samples_leaf': 5}"
Logistic Regression,0.9067164179104478,0.8978102189781022,0.917910447761194,0.9077490774907749,0.9529405212742259,
K-Nearest Neighbors,0.8619402985074627,0.9292035398230089,0.7835820895522388,0.8502024291497976,0.9231733125417687,{'n_neighbors': 9}
